,Divy,Div,Price,Low1,High1,Low52,High52,EPS,PE,Vol,Cap
NICO STEEL HOLDINGS LIMITED (5GF),,,0.0040,0.0050,0.0060,0.0010,0.0090,0.000,,"3,627,539",24.811M
NIPPECRAFT LIMITED (N32),,,0.0350,0.0350,0.0350,0.0310,0.0490,,,"11,184",12.299M
NO SIGNBOARD HOLDINGS LTD. (1G6),,,0.1020,0.1000,0.1010,0.1000,0.2500,,5.56,"150,392",46.239M
NOBLE GROUP LIMITED (CGP),,,,,,,,,,,
NOEL GIFTS INTERNATIONAL LTD (543),1.50,0.00,0.2000,0.2000,0.2000,0.1930,0.2450,0.02,10.00,"12,370",20.495M
"NOMURA HOLDINGS, INC (N33)",,,N/A,N/A,N/A,N/A,N/A,,,,
NORDIC GROUP LIMITED (MR7),4.79,0.02,0.3450,0.3150,0.3450,0.3150,0.5900,0.029,11.90,"38,006",135.419M
NSL LTD. (N02),4.27,0.05,1.1500,1.1400,1.1400,0.9800,1.4200,-0.01,,"7,787",425.856M
NTEGRATOR INTERNATIONAL LTD (5HC),,,0.0070,0.0060,0.0070,0.0060,0.0130,,,"171,350",7.458M
NUTRYFARM INTERNATIONAL LTD (AZT),,,0.1670,0.1960,0.1960,0.0720,0.3250,-0.024,,"17,296",18.899M
OCEAN SKY INTERNATIONAL LTD (1B6),,,0.0440,0.0440,0.0530,0.0300,0.1030,,3.67,"8,026",18.946M
OCEANUS GROUP LIMITED (579),,,0.0030,0.0030,0.0050,0.0030,0.0100,0.002,2.00,"1,271,901",97.188M
OEL (HOLDINGS) LIMITED (584),,,0.0060,0.0060,0.0060,0.0050,0.0100,,,"243,479",4.01M
OKH GLOBAL LTD. (S3N),,,0.0190,0.0190,0.0200,0.0160,0.0550,0.00,20.00,"62,121",22.573M
OKP HOLDINGS LIMITED (5CF),3.50,0.01,0.2100,0.2100,0.2100,0.1850,0.3650,0.02,10.00,"15,692",64.771M
OLAM INTERNATIONAL LIMITED (O32),4.04,0.08,1.9800,1.9600,2.0300,1.5700,2.5000,0.09,22.09,"584,793",6.397B
OLD CHANG KEE LTD. (5ML),,,0.7650,0.7600,0.7650,0.7350,0.8050,,23.18,"1,751",92.852M
OLIVE TREE ESTATES LIMITED (1H2),,,0.1370,0.1370,0.1370,0.1200,0.2400,,,54,9.432M
ONEAPEX LIMITED (5SY),,,0.2200,0.2200,0.2200,0.2100,0.2200,,,0,18.59M
ORIENTAL GROUP LTD. (5FI),,,,,,,,,,,
OSSIA INTERNATIONAL LTD (O08),10.00,0.01,0.1000,0.0830,0.1000,0.0530,0.1460,0.02,4.76,"5,246",25.263M
OUE LIMITED (LJ3),1.20,0.02,1.6600,1.6600,1.6800,1.3600,1.9400,0.01,152.73,"202,693",1.515B
OUE LIPPO HEALTHCARE LTD (5WA),,,0.0610,0.0600,0.0600,0.0520,0.1225,,,"54,796",266.588M
OUHUA ENERGY HOLDINGS LIMITED (AJ2),,,0.0500,0.0410,0.0500,0.0310,0.0590,0.01,3.33,"3,056",19.164M
OVERSEA-CHINESE BANKING CORP (O39),4.14,0.46,11.10,11.12,11.26,10.36,14.04,1.06,10.59,"4,304,914",47.802B
OVERSEAS EDUCATION LIMITED (RQ1),8.87,0.03,0.3100,0.3100,0.3200,0.2700,0.3800,0.017,18.53,"241,785",130.84M
OXLEY HOLDINGS LIMITED (5UX),4.55,0.01,0.3300,0.3250,0.3300,0.2800,0.5700,0.055,5.91,"2,314,200",1.339B
P5 CAPITAL HOLDINGS LTD. (5AI),,,0.0100,0.0100,0.0100,0.0030,0.0300,,,"4,790",5.575M
PACC OFFSHORE SVCS HLDG LTD. (U6C),,,0.1840,0.1800,0.1850,0.1700,0.3900,-0.054,,"114,404",330.188M
PACIFIC ANDES RESOURCES DEVLTD (P11),,,,,,,,,,,
PACIFIC CENTURY REGIONAL DEVTS (P15),5.71,0.02,0.3850,0.4150,0.4500,0.3500,0.4500,0.02,22.63,"61,318",1.139B
PACIFIC RADIANCE LTD. (T8V),,,,,,,,,,,
PACIFIC STAR DEVELOPMENT LTD (1C5),,,0.0990,0.0980,0.0990,0.0710,0.2500,,5.82,695,49.466M
PAN ASIAN HOLDINGS LIMITED (5EW),,,0.0100,0.0100,0.0100,0.0040,0.0430,,,"49,518",2.142M
PAN HONG HOLDINGS GROUP LTD (P36),16.67,0.01,0.0900,0.0700,0.0890,0.0700,0.1200,-0.002,,"4,312",45.596M
"PAN OCEAN CO., LTD. (AZY)",,,5.55,5.55,5.55,5.50,6.23,0.26,21.35,37,2.783B
PAN-UNITED CORPORATION LTD (P52),3.33,0.01,0.2400,0.2400,0.2400,0.2250,0.4050,0.01,24.00,"46,675",168.213M
PARKSON RETAIL ASIA LIMITED (O9E),,,0.0200,0.0200,0.0230,0.0150,0.0670,-0.06,,"24,673",13.546M
PAVILLON HOLDINGS LTD. (596),,,0.0160,0.0160,0.0170,0.0090,0.0410,-0.029,,"3,220",6.204M
PCI LIMITED (P19),2.29,0.03,1.3100,1.3100,1.3100,0.7400,1.3100,0.08,16.17,"165,445",260.82M
PEC LTD. (IX2),3.54,0.02,0.5650,0.5650,0.5650,0.5400,0.6500,0.048,11.77,"36,510",144.055M
PENGUIN INTERNATIONAL LIMITED (BTM),1.30,0.00,0.3500,0.3500,0.3500,0.2600,0.4000,0.06,5.65,"153,514",77.059M
PERENNIAL REAL ESTATE HLDGSLTD (40S),0.60,0.00,0.6650,0.6500,0.6600,0.5950,0.8850,0.047,13.94,"49,171",1.088B
PHARMESIS INTERNATIONAL LTD. (BFK),,,0.2300,0.2300,0.2300,0.1570,0.4000,-0.02,,898,5.29M
PINE CAPITAL GROUP LIMITED (ADJ),,,0.0010,0.0010,0.0020,0.0010,0.0030,,,"12,949,170",13.286M
PLASTOFORM HOLDINGS LIMITED (AYD),,,0.0100,0.0100,0.0110,0.0100,0.0280,-0.24,,"8,002","400,461"
PLATO CAPITAL LIMITED (5PI),,,0.0530,0.0530,0.0530,0.0500,0.1500,,1.56,"1,728",10.319M
PNE INDUSTRIES LTD (BDA),6.33,0.05,0.7900,0.7850,0.7850,0.7850,1.0700,0.063,12.46,"2,681",65.875M
POLARIS LTD. (5BI),,,0.0020,0.0030,0.0030,0.0020,0.0050,,,"262,357",51.16M
POLLUX PROPERTIES LTD. (5AE),,,0.0250,0.0220,0.0230,0.0200,0.0520,,0.62,"12,221",63.468M
POWERMATIC DATA SYSTEMS LTD (BCY),3.29,0.05,1.5200,1.5200,1.6300,1.3900,2.6400,0.14,10.94,"1,543",53.129M
PROCURRI CORPORATION LIMITED (BVQ),,,0.3150,0.3100,0.3150,0.1800,0.3450,0.02,16.32,"316,067",88.911M
PROGEN HOLDINGS LTD (583),,,0.0450,0.0450,0.0450,0.0390,0.0750,,,"6,859",17.573M
PROPNEX LIMITED (OYY),2.65,0.01,0.5650,0.5600,0.5750,0.4550,0.7900,0.052,10.87,"301,362",209.05M
PRUDENTIAL PLC (K6S),2.83,0.64,22.50,22.50,22.50,22.50,22.85,1.15,19.57,14,53.161B
PS GROUP HOLDINGS LTD. (5WD),,,,,,,,,,,
PSL HOLDINGS LTD (BLL),,,0.0910,0.0910,0.0910,0.0910,0.2450,-0.083,,"3,495",5.068M
PT BERLIAN LAJU TANKER TBK (B66),,,N/A,N/A,N/A,0.03,0.03,,,,
Q & M DENTAL GROUP (S) LIMITED (QC7),1.73,0.01,0.4750,0.4650,0.4750,0.4450,0.6450,0.020,23.25,"227,734",365.31M
QAF LTD (Q01),6.76,0.05,0.7400,0.7300,0.7450,0.5550,1.0800,0.014,52.50,"308,650",422.822M
QIAN HU CORPORATION LIMITED (BCV),1.41,0.00,0.1420,0.1420,0.1550,0.1420,0.2500,0.004,35.50,"16,317",16.121M
QINGMEI GROUP HOLDINGS LIMITED (KT9),,,,,,,,,,,
QT VASCULAR LTD. (5I0),,,0.0070,0.0070,0.0080,0.0060,0.0190,,1.17,"2,824,062",14.648M
RAFFLES EDUCATION CORP LTD (NR7),,,0.0920,0.0900,0.0910,0.0770,0.2300,0.00,90.00,"191,760",124.079M
RAFFLES INFRASTRUCTUREHLDGSLTD (LUY),,,0.3800,0.2750,0.3750,0.1900,0.4600,-0.177,,"3,203",25.482M
RAFFLES MEDICAL GROUP LTD (BSL),2.06,0.02,1.0900,1.0900,1.1000,0.9800,1.2100,0.04,27.25,"947,876",1.959B
RAFFLES UNITED HOLDINGS LTD. (K22),,,0.0470,0.0470,0.0470,0.0460,0.2100,0.008,5.87,"3,106",11.001M
RAMBA ENERGY LIMITED (R14),,,0.0870,0.0910,0.0920,0.0600,0.1190,-0.022,,"120,140",58.865M
RE&S HOLDINGS LIMITED (1G1),,,0.2000,0.1800,0.2000,0.1600,0.2450,,16.67,"12,845",70.8M
REGAL INTERNATIONAL GROUP LTD. (UV1),,,0.0420,0.0430,0.0430,0.0340,0.1500,-0.003,,"21,626",9.671M
RENEWABLE ENERGY ASIA GRP LTD (5DW),,,,,,,,,,,
RESOURCES PRIMA GROUP LIMITED (5MM),,,,,,,,,,,
REX INTERNATIONAL HOLDING LTD (5WH),,,0.0840,0.0780,0.0840,0.0400,0.1190,,,"37,726,581",103.298M
RH PETROGAS LIMITED (T13),,,0.0510,0.0500,0.0570,0.0440,0.1000,0.005,10.80,"52,334",39.651M
RHT HEALTH TRUST (RF1U),320.00,0.05,0.0170,0.0170,0.0180,0.0130,0.8100,0.020,0.90,"13,290,604",14.605M
RICH CAPITAL HOLDINGS LIMITED (5G4),,,0.0040,0.0020,0.0030,0.0020,0.0130,,,"8,320,928",14.685M
RIVERSTONE HOLDINGS LIMITED (AP4),2.12,0.02,1.1100,1.1000,1.1100,0.9600,1.2400,0.04,25.81,"155,759",822.603M
ROXY-PACIFIC HOLDINGS LIMITED (E8Z),2.22,0.01,0.4050,0.3900,0.3900,0.3750,0.5400,0.02,21.67,"12,985",508.552M
RYOBI KISO HOLDINGS LTD. (BDN),,,,,,,,,,,
SAKAE HOLDINGS LTD. (5DO),,,0.1500,0.1500,0.1500,0.1200,0.3000,0.02,8.33,234,20.921M
SAMKO TIMBER LIMITED (E6R),,,0.0210,0.0250,0.0250,0.0180,0.0410,0.004,6.25,"69,012",59.429M
SAMUDERA SHIPPING LINE LTD (S56),4.39,0.01,0.1710,0.1710,0.1780,0.1570,0.2400,0.015,11.40,"11,090",92.005M
SAMURAI 2K AEROSOL LIMITED (1C3),,,0.9000,0.8300,0.9000,0.8300,1.8100,,31.07,"12,368",95.631M
SAN TEH LIMITED (S46),2.00,0.00,0.1550,0.1500,0.1550,0.1420,0.2350,-0.026,,"15,000",53.014M
SANLI ENVIRONMENTAL LIMITED (1E3),,,0.2300,0.1960,0.2300,0.1600,0.4000,,19.17,"10,414",61.791M
SANTAK HOLDINGS LIMITED (580),,,0.0930,0.0930,0.0930,0.0480,0.1200,,3.32,925,10.005M
SAPPHIRE CORPORATION LIMITED (BRD),0.80,0.00,0.1250,0.1160,0.1240,0.1110,0.2250,0.020,6.20,"37,829",40.433M
SARINE TECHNOLOGIES LTD (U77),10.49,0.04,0.3900,0.3800,0.3950,0.3800,1.3100,0.022,17.50,"561,373",134.979M
SATS LTD. (S58),3.53,0.18,5.10,5.12,5.17,4.55,5.64,0.23,21.91,"1,553,600",5.739B
SBI OFFSHORE LIMITED (5PL),,,0.0550,0.0540,0.0540,0.0430,0.1000,,,"17,628",13.483M
SBS TRANSIT LTD (S61),4.03,0.14,3.5200,3.5300,3.6300,2.4100,3.6300,0.26,14.05,"61,190",1.126B
SECOND CHANCE PROPERTIES LTD (528),1.33,0.00,0.2250,0.2250,0.2250,0.2150,0.2550,0.008,28.12,"50,220",169.882M
SECURA GROUP LIMITED (43B),,,0.0700,0.0700,0.0700,0.0600,0.1030,,,"71,396",28M
SEMBCORP INDUSTRIES LTD (U96),1.53,0.04,2.6100,2.6000,2.6500,2.4300,3.2800,0.17,15.68,"2,750,952",4.729B
SEMBCORP MARINE LTD (S51),1.17,0.02,1.7000,1.6900,1.7300,1.4900,2.3500,-0.04,,"5,092,284",3.592B
SEN YUE HOLDINGS LIMITED (5BS),,,0.0210,0.0210,0.0210,0.0130,0.0360,,10.50,"40,900",18.15M
SERIAL SYSTEM LTD (S69),9.45,0.01,0.0910,0.0840,0.0960,0.0780,0.1730,0.020,4.55,"57,420",81.522M
SEROJA INVESTMENTS LIMITED (IW5),,,0.0200,0.0200,0.0200,0.0140,0.0540,0.00,10.00,"15,335",7.808M
SERRANO LIMITED (40R),,,,,,,,,,,
SEVAK LIMITED (BAI),,,3.5000,3.4000,3.5000,2.4000,4.0800,0.31,11.40,"2,203",41.479M
SHANGHAI TURBO ENTERPRISES LTD (AWM),,,0.9900,0.9900,0.9900,0.9900,1.5600,,,891,27.194M
SHANGRI-LA ASIA LIMITED (S07),1.43,0.16,11.20,11.40,11.44,9.68,18.26,0.07,163.43,"4,904",41.553B
SHENG SIONG GROUP LTD (OV8),3.21,0.04,1.0900,1.0800,1.1000,0.9250,1.1900,0.05,23.19,"1,025,212",1.639B
SHINVEST HOLDING LTD. (BJW),4.11,0.03,0.7300,0.7300,0.7300,0.4900,0.8600,0.10,7.16,"3,107",21.831M
SHOPPER360 LIMITED (1F0),,,0.1440,0.1440,0.1480,0.1440,0.2400,,10.29,"6,065",16.474M
SHS HOLDINGS LTD. (566),1.03,0.00,0.1950,0.1870,0.1960,0.1800,0.2500,-0.017,,"176,639",134.285M
SIA ENGINEERING CO LTD (S59),4.98,0.12,2.4100,2.3800,2.4200,2.2000,3.3500,0.15,16.33,"567,131",2.686B
SIIC ENVIRONMENT HOLDINGS LTD. (BHK),2.67,0.01,0.3850,0.3650,0.3850,0.2200,0.5450,0.03,11.56,"391,001",964.438M
SILKROAD NICKEL LTD. (STP),,,0.4450,0.4450,0.4450,0.2600,0.5900,,,"105,262",56.561M
SILVERLAKE AXIS LTD (5CP),2.81,0.02,0.5700,0.5650,0.5800,0.3900,0.5800,0.015,38.33,"4,392,525",1.521B
SIM LEISURE GROUP LTD. (URR),,,0.1690,0.1700,0.1900,0.1700,0.1900,,,,
SIN GHEE HUAT CORPORATION LTD. (B7K),1.22,0.00,0.2450,0.2300,0.2450,0.2100,0.2700,0.008,30.62,"5,487",54.39M
SIN HENG HEAVY MACHINERY LTD (BKA),8.11,0.03,0.2850,0.2800,0.2850,0.2800,0.5800,-0.057,,"7,996",32.494M
SINARMAS LAND LIMITED (A26),0.80,0.00,0.2550,0.2500,0.2550,0.2200,0.3950,0.03,8.93,"59,778",1.064B
SINCAP GROUP LIMITED (5UN),,,0.0090,0.0090,0.0090,0.0080,0.0180,,3.00,"182,692",15.309M
SING HOLDINGS LIMITED (5IC),2.67,0.01,0.3750,0.3750,0.3850,0.3550,0.4600,0.03,11.18,"73,901",152.378M
SING INVESTMENTS & FINANCE LTD (S35),4.58,0.07,1.5200,1.5300,1.5300,1.4100,1.6100,0.15,10.07,"8,964",241.168M
SINGAPORE AIRLINES LTD (C6L),3.85,0.38,9.86,9.84,9.97,9.14,11.84,0.30,33.57,"1,233,795",11.801B
SINGAPORE EDEVELOPMENT LTD (40V),,,0.0350,0.0310,0.0380,0.0280,0.0590,,,"55,439",34.145M
SINGAPORE EXCHANGE LIMITED (S68),3.80,0.30,7.89,7.88,8.00,6.72,8.00,0.35,23.12,"1,979,848",8.561B
SINGAPORE KITCHEN EQUIPMENTLTD (5WG),,,0.0770,0.0810,0.1130,0.0770,0.1500,,,"10,852",17.05M
SINGAPORE MEDICAL GROUP LTD (5OT),,,0.4500,0.4550,0.4650,0.3800,0.5550,,19.78,"346,010",218.729M
SINGAPORE MYANMAR INVESTCO LTD (Y45),,,0.1500,0.1400,0.1500,0.1310,0.3900,-0.03,,"56,807",42.42M
SINGAPORE O&G LTD. (1D8),,,0.3500,0.3500,0.3500,0.3200,0.3850,,18.42,"147,026",166.881M
SINGAPORE POST LIMITED (S08),2.00,0.02,1.0000,0.9950,1.0100,0.8850,1.4000,0.05,20.41,"2,969,209",2.251B
SINGAPORE PRESS HLDGS LTD (T39),2.43,0.06,2.4700,2.4500,2.4900,2.3100,2.9200,0.17,14.59,"3,412,477",4.001B
SINGAPORE REINSURANCE COR LTD (S49),4.56,0.01,0.2850,0.2850,0.2900,0.2750,0.3300,0.01,19.33,"33,406",175.514M
SINGAPORE SHIPPING CORP LTD (S19),3.45,0.01,0.2900,0.2900,0.2900,0.2750,0.3050,0.02,12.61,"69,725",124.142M
SINGAPORE TECH ENGINEERING LTD (S63),4.02,0.15,3.7300,3.7100,3.7700,3.2100,3.7900,0.16,23.80,"3,404,610",11.721B
SINGAPURA FINANCE LTD (S23),2.19,0.02,0.9150,0.9150,0.9200,0.8700,1.0500,0.05,18.78,"9,895",145.991M
SINGHAIYI GROUP LTD. (5H0),3.26,0.00,0.0930,0.0930,0.0930,0.0750,0.1010,0.006,15.50,"1,318,429",392.529M
SINGTEL (Z74),4.55,0.14,2.9900,2.9800,3.0000,2.8300,3.5800,0.19,15.90,"16,029,052",48.803B
SINJIA LAND LIMITED (5HH),,,0.0080,0.0080,0.0090,0.0060,0.0500,,,"8,143",1.417M
SINO GRANDNESS FOOD IND GP LTD (T4B),,,0.0590,0.0570,0.0650,0.0330,0.2550,0.051,1.12,"2,582,225",55.826M
SINO TECHFIBRE LIMITED (AD8),,,,,,,,,,,
SINOCLOUD GROUP LIMITED (5EK),,,0.0010,0.0010,0.0010,0.0010,0.0020,,,15,14.311M
SINOPIPE HOLDINGS LIMITED (X06),,,,,,,,,,,
SINOSTAR PEC HOLDINGS LIMITED (C9Q),2.78,0.01,0.1800,0.1730,0.1730,0.1490,0.2350,0.019,9.11,"8,075",110.72M
SINWA LIMITED (5CN),4.17,0.01,0.3000,0.2950,0.3000,0.1900,0.3100,0.030,9.83,"238,235",100.618M
SITRA HOLDINGS (INTL) LIMITED (5LE),,,0.0090,0.0080,0.0090,0.0060,0.0110,,,"319,500",6.761M
SK JEWELLERY GROUP LIMITED (42G),,,0.1010,0.1010,0.1120,0.0920,0.1800,,7.21,"6,757",56.812M
SLB DEVELOPMENT LTD. (1J0),,,0.1440,0.1440,0.1450,0.1280,0.2600,,6.55,"296,179",131.472M
SMJ INTERNATIONAL HOLDINGSLTD. (40B),,,0.0820,0.0820,0.0830,0.0820,0.1300,,82.00,"2,593",6.396M
SOILBUILD CONSTRUCTION GRP LTD (S7P),,,0.1000,0.1000,0.1000,0.0630,0.1600,-0.00,,"70,707",67.299M
SOON LIAN HOLDINGS LIMITED (5MD),,,0.0800,0.0800,0.0800,0.0710,0.0810,,,"1,720",8.64M
SOUP RESTAURANT GROUP LIMITED (5KI),3.05,0.01,0.1640,0.1650,0.1650,0.1300,0.1890,0.008,20.62,"31,525",46.191M
SOUTHERN PACKAGING GROUP LTD (BQP),0.90,0.00,0.4000,0.4000,0.4000,0.3000,0.9000,0.03,12.50,73,28.128M
SP CORPORATION LIMITED (AWE),,,0.6600,0.6600,0.6600,0.4450,0.8950,0.05,12.22,"2,034",23.165M
SPACKMAN ENTERTAINMENT GRP LTD (40E),,,0.0230,0.0230,0.0260,0.0210,0.0940,,,"10,498,817",25.774M
SPINDEX INDUSTRIES LIMITED (564),3.33,0.03,0.9000,0.9000,0.9000,0.7900,0.9500,0.14,6.21,414,103.828M
SRI TRANG AGRO-INDUSTRY PCL (NC2),,,0.6900,0.6000,0.6450,0.4450,0.7750,,,"11,385",768M
STAMFORD LAND CORPORATION LTD (H07),2.02,0.01,0.4950,0.4950,0.4950,0.4550,0.5150,0.079,6.27,"323,389",410.368M
STAMFORD TYRES CORPORATIONLTD (S29),3.51,0.01,0.2850,0.3000,0.3000,0.2500,0.3600,0.01,37.50,"24,906",70.856M
STAR PHARMACEUTICAL LIMITED (AYL),,,0.1700,0.1580,0.1700,0.1140,0.1780,-0.062,,"9,100",7.321M
STARBURST HOLDINGS LIMITED (40D),,,0.3900,0.3600,0.3800,0.3150,0.4350,,,"18,340",92.158M
STARHUB LTD (CC3),10.06,0.16,1.5900,1.5800,1.6000,1.5700,2.5000,0.11,14.20,"2,401,084",2.751B
STARLAND HOLDINGS LIMITED (5UA),,,0.1050,0.1050,0.1050,0.0460,0.1230,,21.00,"3,971",15.197M
STRACO CORPORATION LIMITED (S85),3.29,0.03,0.7600,0.7700,0.7850,0.6800,0.8400,0.048,16.35,"29,517",675.613M
STRAITS TRADING CO. LTD (S20),2.78,0.06,2.1600,2.1500,2.1700,1.9600,2.3300,0.16,13.73,"19,095",884.859M
SUNMOON FOOD COMPANY LIMITED (AAJ),,,0.0370,0.0360,0.0360,0.0300,0.0790,-0.004,,"238,400",25.681M
SUNNINGDALE TECH LTD (BHQ),5.14,0.07,1.4600,1.4000,1.4500,1.2100,2.0800,0.14,10.00,"405,293",266.906M
SUNPOWER GROUP LTD. (5GD),0.20,0.00,0.5950,0.5900,0.6150,0.2700,0.6450,0.01,49.17,"3,216,446",450.114M
SUNRIGHT LTD (S71),0.59,0.00,0.5050,0.4800,0.5050,0.3500,1.1300,0.05,8.73,"22,128",58.947M
SUNRISE SHARES HOLDINGS LTD. (581),,,0.0170,0.0170,0.0170,0.0120,0.0700,,,46,3.032M
SUNTAR ECO-CITY LIMITED (BKZ),,,0.1200,0.1200,0.1200,0.1200,0.1500,-0.05,,0,7.531M
SUNVIC CHEMICAL HOLDINGS LTD (A7S),,,0.0220,0.0220,0.0220,0.0160,0.0680,-0.040,,970,11.704M
SUTL ENTERPRISE LIMITED (BHU),3.08,0.02,0.6250,0.6250,0.6350,0.5550,0.8500,0.067,9.33,"6,645",54.038M
SWEE HONG LIMITED (QF6),,,0.0060,0.0040,0.0060,0.0030,0.0140,0.000,,"3,396,162",15.161M
SWIBER HOLDINGS LIMITED (BGK),,,,,,,,,,,
SWING MEDIA TECHNOLOGY GRP LTD (BEV),,,,,,,,,,,
SWISSCO HOLDINGS LIMITED (ADP),,,N/A,N/A,N/A,N/A,N/A,,,,
SYNAGIE CORPORATION LTD. (V2Y),,,0.0770,0.0630,0.0660,0.0630,0.2850,,,"56,837",16.487M
SYSMA HOLDINGS LIMITED (5UO),,,0.1460,0.1480,0.1510,0.1400,0.1670,,4.77,"19,820",37.348M
TA CORPORATION LTD (PA3),4.65,0.01,0.2150,0.1870,0.2150,0.1850,0.2800,-0.029,,"9,473",111.385M
TAI SIN ELECTRIC LIMITED (500),6.82,0.02,0.3300,0.3250,0.3300,0.3000,0.4100,0.030,10.83,"51,973",141.543M
TALKMED GROUP LIMITED (5G3),,,0.5600,0.5650,0.5800,0.5350,0.7300,,26.14,"8,981",755.717M
TAT SENG PACKAGING GROUP LTD (T12),4.72,0.03,0.6300,0.6200,0.6300,0.5800,0.8200,0.12,5.12,"12,948",99.036M
TECHCOMP (HOLDINGS) LIMITED (T43),,,0.1250,0.1250,0.1250,0.1250,0.5650,0.003,41.67,0,34.43M
TECHNICS OIL & GAS LIMITED (5CQ),,,,,,,,,,,
TECKWAH INDUSTRIAL CORP LTD (561),3.61,0.01,0.4150,0.4150,0.4200,0.4150,0.4800,0.03,14.00,"30,414",98.091M
TEE INTERNATIONAL LIMITED (M1Z),,,0.1000,0.0970,0.0990,0.0970,0.1872,-0.014,,"2,553,999",64.041M
TEE LAND LIMITED (S9B),2.35,0.00,0.1820,0.1750,0.1830,0.1420,0.1990,-0.001,,"81,854",80.885M
TEHO INTERNATIONAL INC LTD. (5OQ),,,0.0350,0.0300,0.0450,0.0040,0.0570,,,"1,690",10.658M
TELECHOICE INTERNATIONAL LTD (T41),4.55,0.01,0.2200,0.2200,0.2200,0.2100,0.2700,0.01,24.44,"15,446",99.965M
THAI BEVERAGE PUBLIC CO LTD (Y92),2.52,0.02,0.8150,0.7900,0.8150,0.5750,0.8800,0.022,36.14,"24,985,322",19.965B
THAKRAL CORPORATION LTD (AWI),8.89,0.04,0.4500,0.4250,0.4500,0.3550,0.5600,0.07,6.34,"8,725",58.887M
THE HOUR GLASS LIMITED (AGS),3.05,0.02,0.6550,0.6500,0.6500,0.6150,0.6950,0.09,7.14,"68,285",458.258M
THE PLACE HOLDINGS LIMITED (E27),,,0.0150,0.0150,0.0150,0.0140,0.0420,0.000,,"349,006",88.21M
THE STRATECH GROUP LIMITED (BRR),,,,,,,,,,,
THE TRENDLINES GROUP LTD. (42T),,,0.0930,0.0900,0.0930,0.0890,0.1360,,11.25,"210,229",54.787M
THOMSON MEDICAL GROUP LIMITED (A50),0.32,0.00,0.0790,0.0780,0.0800,0.0720,0.1290,0.000,,"17,365,534",2.035B
TIANJIN ZHONG XIN PHARM GROUP (T14),3.30,0.03,0.9150,0.9150,0.9300,0.8050,1.2900,0.102,9.07,"261,125",711.208M
TIH LIMITED (T55),,,0.2850,0.2750,0.2800,0.1000,0.4950,-0.049,,"14,154",66.464M
TIONG SENG HOLDINGS LIMITED (BFI),5.77,0.01,0.2550,0.2500,0.2550,0.2500,0.4100,0.02,12.50,"25,062",111.196M
TIONG WOON CORP HOLDING LTD (BQM),,,0.2750,0.2750,0.2900,0.2600,0.3600,0.02,15.56,"33,059",65.026M
TLV HOLDINGS LIMITED (42L),,,0.0910,0.0910,0.0920,0.0850,0.0990,,15.33,"11,039",51.465M
TOP GLOBAL LIMITED (BHO),,,0.1600,0.1520,0.1600,0.1500,0.2750,-0.01,,442,51.503M
TOP GLOVE CORPORATION BHD (BVA),1.87,0.03,1.5100,1.4900,1.5000,1.4900,2.2500,0.04,34.65,"18,228",3.729B
TOSEI CORPORATION (S2D),,,,,,,,,,,
TPV TECHNOLOGY LIMITED (T18),0.83,0.00,0.2050,0.2150,0.2150,0.1120,0.2150,-0.012,,"1,764",512.732M
TRANSCORP HOLDINGS LIMITED (T19),,,0.0040,0.0040,0.0050,0.0040,0.0370,,,"11,831",1.078M
TRANSIT-MIXED CONCRETE LTD (570),,,0.2000,0.2000,0.2000,0.1900,0.4350,-0.08,,809,13.918M
TRAVELITE HOLDINGS LTD. (BCZ),,,0.1560,0.1560,0.1560,0.1200,0.2000,-0.002,,"5,857",9.843M
TREK 2000 INT'L LTD (5AB),10.87,0.01,0.0920,0.0880,0.0920,0.0800,0.2700,-0.012,,"40,940",28.284M
TRITECH GROUP LIMITED (5G9),,,0.0260,0.0230,0.0280,0.0230,0.0760,,,"86,818",25.423M
TRIYARDS HOLDINGS LIMITED (RC5),,,,,,,,,,,
TSH CORPORATION LTD (KUH),,,0.3150,0.3150,0.3150,0.2000,0.5400,,,"14,199",13.972M
TT INTERNATIONAL LIMITED (T09),,,,,,,,,,,
TTJ HOLDINGS LIMITED (K1Q),2.33,0.01,0.3000,0.3000,0.3000,0.2650,0.3450,0.03,11.54,"4,029",104.85M
TUAN SING HOLDINGS LIMITED (T24),1.56,0.01,0.3850,0.3850,0.3900,0.3250,0.4600,0.11,3.45,"534,629",462.696M
TUNG LOK RESTAURANTS 2000 LTD (540),,,0.1650,0.1650,0.1650,0.1310,0.2250,,,"4,312",45.276M
TYE SOON LTD (BFU),4.78,0.01,0.1200,0.1200,0.1200,0.0960,0.2750,-0.00,,351,10.472M
UG HEALTHCARE CORPORATION LTD (41A),,,0.2000,0.1990,0.1990,0.1800,0.2450,,12.44,"118,578",38.466M
UMS HOLDINGS LIMITED (558),6.34,0.04,0.7100,0.7150,0.7300,0.5400,1.3600,0.09,7.93,"3,107,660",391.594M
UNI-ASIA GROUP LIMITED (CHJ),5.25,0.06,1.2000,1.2100,1.2600,1.1500,1.5300,0.14,9.11,"12,745",57.785M
UNION GAS HOLDINGS LIMITED (1F2),,,0.2550,0.2550,0.2700,0.2000,0.2900,,13.42,"40,012",58.36M
UNION STEEL HOLDINGS LIMITED (BLA),2.96,0.01,0.4050,0.4050,0.4050,0.4050,0.6500,0.018,22.50,"1,185",15.948M
