,Divy,Div,Price,Low1,High1,Low52,High52,EPS,PE,Vol,Cap
CITIC ENVIROTECH LTD. (CEE),3.96,0.02,0.5050,0.4800,0.5050,0.3300,0.7350,0.043,11.28,"2,295,921",1.174B
CITY DEVELOPMENTS LIMITED (C09),0.91,0.08,8.81,8.64,8.87,7.80,13.59,0.58,15.14,"1,800,360",8.017B
CIVMEC LIMITED (P9D),1.71,0.01,0.4100,0.4100,0.4100,0.3900,0.5800,0.05,7.88,"11,243",205.404M
CLEARBRIDGE HEALTH LIMITED (1H3),,,0.1750,0.1640,0.1650,0.1470,0.5950,,,"219,203",80.247M
CNA GROUP LTD. (5GC),,,0.0260,0.0260,0.0260,0.0260,0.0260,,,,
CNMC GOLDMINE HOLDINGS LIMITED (5TP),,,0.2250,0.2150,0.2250,0.1850,0.2900,,26.88,"222,679",87.654M
COLEX HOLDINGS LIMITED (567),,,0.2500,0.2500,0.2650,0.2450,0.4000,,7.29,"2,035",33.793M
COMBINE WILL INTL HLDGS LTD (N0Z),,,1.0100,1.0000,1.0200,0.8000,1.4000,0.43,2.37,"4,510",32.651M
COMFORTDELGRO CORPORATION LTD (C52),4.32,0.10,2.4300,2.4100,2.4700,1.9600,2.5100,0.14,17.50,"7,187,046",5.305B
COMPACT METAL INDUSTRIES LTD (T4E),,,0.0370,0.0170,0.0370,0.0140,0.0440,0.003,12.33,"127,557",209.561M
CORDLIFE GROUP LIMITED (P8A),2.05,0.01,0.4000,0.4000,0.4300,0.3600,0.9500,0.01,32.31,"15,182",106.387M
CORTINA HOLDINGS LIMITED (C41),1.45,0.02,1.3800,1.3700,1.3800,0.8050,1.3800,0.17,7.89,"9,126",228.498M
COSCO SHIPPING INTL(S) CO. LTD (F83),,,0.3550,0.3550,0.3650,0.3150,0.5350,0.006,59.17,"4,326,839",794.934M
COSMOSTEEL HOLDINGS LIMITED (B9S),,,0.0480,0.0490,0.0530,0.0300,0.1190,-0.103,,"205,742",14.23M
COURAGE INVESTMENT GRP LIMITED (CIN),,,0.0400,0.0400,0.0400,0.0180,0.0990,0.02,2.00,553,26.471M
COURTS ASIA LIMITED (RE2),,,0.2000,0.2000,0.2000,0.1430,0.2950,-0.02,,"144,164",103.493M
CPH LTD (539),,,0.0070,0.0070,0.0090,0.0040,0.0110,,,"113,607",8.605M
CREATIVE TECHNOLOGY LTD (C76),,,5.07,5.10,5.20,3.20,10.00,0.15,33.40,"473,436",359.394M
CSC HOLDINGS LTD (C06),,,0.0210,0.0190,0.0190,0.0180,0.0280,-0.008,,"277,665",44.125M
CSE GLOBAL LTD (544),6.25,0.03,0.5050,0.4950,0.5150,0.3650,0.5150,0.039,12.95,"1,289,150",256.989M
CWX GLOBAL LIMITED (594),,,0.0030,0.0030,0.0040,0.0030,0.0090,,0.50,"466,785",11.7M
DAIRY FARM INT'L HOLDINGS LTD (D01),3.38,0.29,8.57,8.59,8.67,7.67,9.94,0.07,127.21,"430,880",11.701B
DARCO WATER TECHNOLOGIES LTD (BLR),,,0.5000,0.3500,0.5000,0.3500,0.5000,0.00,100.00,258,46.916M
DASIN RETAIL TRUST (CEDU),4.66,0.04,0.8900,0.8850,0.8950,0.8300,0.9150,-0.02,,"237,835",489.144M
DATAPULSE TECHNOLOGY LIMITED (BKW),3.57,0.01,0.2800,0.2750,0.2750,0.2500,0.3950,0.164,1.68,"150,817",60.246M
DBS GROUP HOLDINGS LTD (D05),4.78,1.20,25.08,25.11,25.50,22.65,31.28,2.18,11.70,"3,377,959",65.236B
DEBAO PROPERTY DEVELOPMENT LTD (BTF),,,0.0800,0.0770,0.0800,0.0770,0.1220,-0.28,,"1,579",6M
DECLOUT LIMITED (5UZ),,,0.1300,0.1290,0.1290,0.0650,0.1310,,,"2,560,268",85.914M
DEL MONTE PACIFIC LIMITED (D03),,,0.1420,0.1430,0.1430,0.1050,0.2600,-0.022,,"96,406",277.986M
DELFI LIMITED (P34),1.77,0.03,1.4500,1.4500,1.4500,0.9900,1.5700,0.03,42.65,"104,651",886.178M
DELONG HOLDINGS LIMITED (BQO),9.45,0.55,5.82,5.77,5.82,3.02,7.00,2.23,2.61,"10,115",641.265M
DESIGN STUDIO GROUP LTD. (D11),,,0.1400,0.1300,0.1300,0.1210,0.3800,-0.09,,"7,403",33.834M
DISA LIMITED (532),,,0.0040,0.0030,0.0040,0.0020,0.0120,,,"2,513,995",30.116M
DLF HOLDINGS LIMITED (KUX),,,0.1770,0.1530,0.1730,0.0130,0.2200,,,"8,731",20.952M
DRAGON GROUP INTL LIMITED (MT1),,,0.0040,0.0040,0.0040,0.0040,0.0040,,,,
DUKANG DISTILLERS HLDGS LTD (BKV),,,0.1650,0.1650,0.1650,0.1500,0.3550,-0.421,,"4,489",13.172M
DUTECH HOLDINGS LIMITED (CZ4),4.35,0.01,0.2300,0.2350,0.2350,0.2050,0.3300,0.024,9.79,"6,768",83.786M
DUTY FREE INTERNATIONALLIMITED (5SO),14.29,0.03,0.1960,0.1950,0.1950,0.1750,0.2750,0.009,21.67,"160,735",235.648M
DYNA-MAC HOLDINGS LTD. (NO4),,,0.1020,0.1020,0.1040,0.0870,0.1450,-0.020,,"36,207",106.414M
DYNAMIC COLOURS LIMITED (D6U),2.63,0.01,0.1900,0.1900,0.1900,0.1880,0.2750,0.01,14.62,"2,000",39.894M
ECOWISE HOLDINGS LIMITED (5CT),,,0.0280,0.0280,0.0280,0.0230,0.0450,,28.00,"107,531",26.796M
EDITION LTD. (5HG),,,0.0070,0.0070,0.0070,0.0040,0.0070,,,"18,750",17.576M
EINDEC CORPORATION LIMITED (42Z),,,0.0290,0.0230,0.0290,0.0210,0.0480,,,"5,537",3.123M
ELEC & ELTEK INT CO LTD (E16),5.48,0.08,1.4600,1.3500,1.3900,1.2400,1.7500,0.13,10.62,"15,617",257.95M
ELLIPSIZ LTD (BIX),2.35,0.01,0.4250,0.4250,0.4350,0.3000,0.6950,-0.037,,"28,576",72.701M
EMAS OFFSHORE LIMITED (UQ4),,,0.0500,0.0500,0.0500,0.0500,0.0500,,,,
EMERGING TOWNS&CITIES SING LTD (1C0),,,0.0260,0.0250,0.0270,0.0220,0.0740,,,"74,578",25.979M
EMS ENERGY LIMITED (42O),,,0.0220,0.0220,0.0220,0.0220,0.0220,,,,
ENGRO CORPORATION LIMITED (S44),2.96,0.03,0.8450,0.8450,0.8450,0.8350,1.0100,0.050,16.90,"1,714",100.236M
ENVICTUS INTERNATIONAL HLDGLTD (BQD),,,0.1400,0.1400,0.1420,0.1400,0.3666,-0.05,,"18,856",34.596M
ENVIRO-HUB HOLDINGS LTD (L23),8.11,0.00,0.0370,0.0320,0.0330,0.0200,0.0680,0.001,33.00,"19,001",34.114M
EPICENTRE HOLDINGS LIMITED (5MQ),,,0.0890,0.0740,0.1170,0.0450,0.1450,,,"106,096",14.193M
ES GROUP (HOLDINGS) LIMITED (5RC),,,0.0260,0.0260,0.0260,0.0260,0.0260,,,"25,000",3.671M
EUROSPORTS GLOBAL LIMITED (5G1),,,0.1900,0.1850,0.1850,0.1600,0.2250,,,"43,421",48.917M
EXCELPOINT TECHNOLOGY LTD (BDF),5.08,0.03,0.5900,0.5900,0.6000,0.5700,0.7750,0.07,8.68,"9,353",70.324M
EZION HOLDINGS LIMITED (5ME),,,0.0430,0.0430,0.0440,0.0380,0.2550,-0.109,,"52,508,442",160.304M
EZRA HOLDINGS LIMITED (5DN),,,0.0110,0.0110,0.0110,0.0110,0.0110,,,,
F J BENJAMIN HOLDINGS LTD (F10),,,0.0300,0.0300,0.0300,0.0300,0.0648,-0.00,,"22,871",27.298M
FABCHEM CHINA LIMITED (BFT),,,0.1580,0.1250,0.1580,0.1150,0.2550,-0.078,,"2,200",7.394M
FALCON ENERGY GROUP LIMITED (5FL),,,0.0270,0.0260,0.0280,0.0220,0.0680,-0.093,,"844,392",23.669M
FAR EAST GROUP LIMITED (5TJ),,,0.1350,0.1350,0.1360,0.0720,0.1920,,33.75,"4,009",14.645M
FAR EAST ORCHARD LIMITED (O10),4.76,0.06,1.2600,1.2500,1.2700,1.1800,1.5100,0.08,16.80,"57,003",550.877M
FEDERAL INT(2000) LTD (BDU),6.52,0.01,0.2300,0.2150,0.2250,0.2050,0.3850,-0.04,,"16,475",30.947M
FIGTREE HOLDINGS LIMITED (5F4),,,0.1070,0.0900,0.1070,0.0790,0.1500,,,"1,557",37.234M
FIRST RESOURCES LIMITED (EB5),1.89,0.03,1.7200,1.7000,1.7200,1.5000,1.7800,0.09,19.77,"523,290",2.693B
FIRST SHIP LEASE TRUST (D8DU),,,0.0460,0.0460,0.0460,0.0430,0.0920,-0.030,,"164,812",29.323M
FIRST SPONSOR GROUP LIMITED (ADN),1.80,0.02,1.2800,1.2700,1.2800,1.2182,1.3909,0.15,8.47,"11,945",824.796M
FOOD EMPIRE HOLDINGS LIMITED (F03),1.17,0.01,0.5800,0.5700,0.5700,0.4950,0.6900,0.03,16.76,"19,576",304.472M
FORELAND FABRICTECH HLDS LTD (B0I),,,0.0090,0.0090,0.0090,0.0090,0.0090,,,,
FORISE INTERNATIONAL LIMITED (I5H),,,0.0030,0.0030,0.0030,0.0030,0.0080,0.000,,"38,282",6.39M
FRAGRANCE GROUP LIMITED (F31),5.63,0.01,0.1420,0.1380,0.1420,0.1030,0.1630,0.008,17.75,"123,101",953.269M
"FRASER AND NEAVE, LIMITED (F99)",3.31,0.06,1.8100,1.7600,1.8400,1.6700,2.3500,0.09,19.14,"73,915",2.579B
FRASERS PROPERTY LIMITED (TQ5),7.17,0.12,1.7300,1.7200,1.7400,1.5500,2.0300,0.25,6.88,"228,651",5.022B
FRENCKEN GROUP LIMITED (E28),4.55,0.02,0.4700,0.4650,0.5200,0.3700,0.6700,0.07,7.18,"211,260",214.966M
FU YU CORPORATION LTD (F13),5.85,0.01,0.2050,0.2050,0.2100,0.1580,0.2200,0.02,13.12,"2,091,878",158.129M
FUJI OFFSET PLATES MFG LTD (508),,,0.2550,0.2550,0.2550,0.1950,0.2550,,,21,12.728M
FUJIAN ZHENYUN PLAS IND CO LTD (5KT),,,,,,,,,,,
