,Divy,Div,Price,Low7,High7,Low52,High52,EPS,PE,ROE,NTA,Vol,Cap
KTC (0180),0.00,0.000,0.185,0.150,0.195,0.125,0.205,-0.75,-,-3.57,0.210,"7,289",94.40m
KUB (6874),2.53,1.000,0.395,0.365,0.470,0.225,0.535,0.21,188.10,0.37,0.570,"24,769",219.80m
KUCHAI (2186),3.11,5.000,1.610,1.610,1.750,1.570,2.640,13.02,12.37,3.37,3.863,549,199.23m
KWANTAS (6572),0.00,0.000,0.830,0.830,0.910,0.800,1.550,-42.69,-,-11.23,3.800,75,258.69m
KYM (8362),0.00,0.000,0.335,0.265,0.355,0.250,0.520,-1.51,-,-2.56,0.590,217,50.21m
L&G (3174),10.00,1.500,0.150,0.145,0.160,0.130,0.190,1.08,13.89,2.98,0.362,"20,571",445.97m
LAFMSIA (3794),0.00,0.000,1.900,1.800,2.000,1.800,5.300,-37.58,-,-12.57,2.990,"5,467",1.614b
LAMBO (0018),0.00,0.000,0.135,0.125,0.150,0.115,0.250,0.80,16.88,13.11,0.061,"16,059",283.79m
LANDMRK (1643),0.00,0.000,0.470,0.460,0.515,0.450,0.800,-7.07,-,-2.20,3.210,"1,081",248.58m
LATITUD (7006),1.52,6.000,3.950,3.720,3.990,2.940,4.100,19.59,20.16,3.29,5.950,275,383.97m
LAYHONG (9385),1.22,0.500,0.410,0.395,0.500,0.325,0.990,0.92,44.57,1.88,0.490,"64,634",270.72m
LBALUM (9326),2.00,1.000,0.500,0.470,0.540,0.440,0.670,2.55,19.61,2.14,1.190,"1,647",124.24m
LBICAP (8494),3.92,3.000,0.765,0.665,0.780,0.630,1.219,3.94,19.42,2.35,1.680,271,62.85m
LBS (5789),12.06,8.200,0.680,0.665,0.705,0.600,1.018,5.46,12.45,6.28,0.870,"8,016",1.060b
LCTITAN (5284),5.30,23.000,4.340,4.230,4.640,4.110,6.230,34.07,12.74,6.46,5.270,"14,170",10.016b
LEBTECH (9628),0.00,0.000,0.860,0.800,0.905,0.750,1.220,-0.52,-,-0.55,0.952,0,117.38m
LEESK (8079),1.61,1.500,0.930,0.920,1.010,0.510,1.090,6.11,15.22,19.09,0.320,"10,115",156.07m
LEONFB (5232),3.06,1.500,0.490,0.485,0.520,0.400,0.895,8.42,5.82,7.45,1.130,"2,212",151.90m
LEWEKO (8745),0.00,0.000,0.155,0.135,0.170,0.100,0.300,-1.02,-,-3.78,0.270,756,49.89m
LFECORP (7170),0.00,0.000,0.110,0.095,0.135,0.085,0.225,-,-,-,0.180,330,20.44m
LIENHOE (3573),0.00,0.000,0.280,0.270,0.290,0.270,0.480,-9.82,-,-6.96,1.410,"2,325",101.29m
LIIHEN (7089),8.24,23.000,2.790,2.750,2.940,2.125,3.275,32.10,8.69,18.66,1.720,"2,607",502.20m
LIONFIB (8486),0.00,0.000,0.480,0.410,0.505,0.405,0.775,2.52,19.05,1.07,2.350,234,111.15m
LIONIND (4235),0.00,0.000,0.515,0.495,0.590,0.450,1.330,9.00,5.72,3.35,2.690,"60,136",369.72m
LITRAK (6645),5.84,25.000,4.280,4.110,4.600,3.530,5.800,43.52,9.83,24.19,1.799,"1,886",2.260b
LKL (0182),3.18,0.350,0.110,0.105,0.125,0.105,0.210,-0.11,-,-0.79,0.140,"2,615",47.17m
LONBISC (7126),0.00,0.000,0.470,0.440,0.630,0.366,0.630,6.24,7.53,3.27,1.910,"30,500",120.55m
LPI (8621),4.17,68.000,16.320,15.980,16.500,15.210,16.820,78.83,20.70,14.56,5.414,797,6.502b
LSTEEL (9881),0.00,0.000,0.265,0.250,0.330,0.250,0.510,3.81,6.96,3.40,1.120,834,33.93m
LTKM (7085),1.48,2.000,1.350,1.220,1.400,0.780,1.400,12.50,10.80,6.72,1.860,263,175.64m
LUSTER (5068),0.00,0.000,0.080,0.075,0.090,0.075,0.115,0.64,12.50,8.00,0.080,"14,860",158.08m
LUXCHEM (5143),4.02,2.250,0.560,0.535,0.565,0.500,0.715,4.39,12.76,13.30,0.330,"4,164",484.03m
LYC (0075),0.00,0.000,0.330,0.325,0.420,0.310,0.545,-1.89,-,-23.62,0.080,"5,495",107.21m
LYSAGHT (9199),2.60,7.000,2.690,2.550,2.800,2.250,3.710,22.37,12.03,6.28,3.560,64,111.85m
M&G (5078),214.29,15.000,0.070,0.070,0.090,0.055,0.195,-,-,-,0.178,"5,336",50.67m
M3TECH (0017),0.00,0.000,0.045,0.040,0.055,0.040,0.130,-,-,-,0.059,"18,389",26.41m
MAA (1198),9.00,9.000,1.000,0.495,1.030,0.400,1.030,-10.04,-,-5.18,1.940,"1,472",273.52m
MAGNA (7617),0.00,0.000,0.885,0.870,0.940,0.840,1.250,-16.02,-,-10.14,1.580,144,296.40m
MAGNI (7087),4.40,20.000,4.550,4.270,4.700,3.830,5.370,59.30,7.67,19.57,3.030,"1,311",740.43m
MAGNUM (3859),6.10,15.000,2.460,2.070,2.460,1.640,2.460,7.29,33.74,4.37,1.670,"7,562",3.537b
MAHSING (8583),6.77,6.500,0.960,0.930,1.030,0.890,1.255,11.19,8.58,7.77,1.440,"18,132",2.331b
MALAKOF (5264),6.89,6.200,0.900,0.830,0.935,0.745,1.019,5.49,16.39,4.77,1.150,"37,480",4.500b
MALPAC (4936),11.63,10.000,0.860,0.840,0.860,0.760,1.010,-8.52,-,-3.84,2.220,8,64.50m
MALTON (6181),4.08,2.000,0.490,0.475,0.580,0.390,0.945,2.58,18.99,1.49,1.730,"31,318",258.79m
