,Divy,Div,Price,Low7,High7,Low52,High52,EPS,PE,ROE,NTA,Vol,Cap
SIMEPLT (5285),3.42,17.500,5.110,5.010,5.320,3.950,5.625,-,-,-,1.930,"34,591",35.180b
SIMEPROP (5288),5.00,5.000,1.000,0.995,1.210,0.905,1.480,-,-,-,1.350,"40,739",6.801b
SINOTOP (8532),5.12,1.510,0.295,0.260,0.315,0.200,0.600,-,-,-,0.460,"3,427",116.50m
SJC (9431),0.00,0.000,0.610,0.590,0.650,0.530,0.860,-1.89,-,-1.44,1.310,8,24.73m
SKBSHUT (7115),0.00,0.000,0.550,0.500,0.550,0.410,0.645,5.22,10.54,2.55,2.050,14,22.00m
SKPRES (7155),3.80,5.060,1.330,1.260,1.380,0.945,1.839,8.46,15.72,18.39,0.460,"26,876",1.663b
SLIC (03008),2.38,1.000,0.420,0.420,0.420,0.220,0.420,-,-,-,0.090,4,53.34m
SLP (7248),3.52,4.500,1.280,1.180,1.330,0.775,1.470,7.97,16.06,13.93,0.572,"2,206",405.71m
SMCAP (9776),0.00,0.000,0.170,0.150,0.200,0.105,0.411,-18.07,-,-38.20,0.473,"14,856",36.34m
SMETRIC (0203),0.00,0.000,0.500,0.390,0.550,0.370,0.560,-,-,-,0.150,"62,579",121.80m
SMI (4375),0.00,0.000,0.170,0.150,0.180,0.135,0.250,2.04,8.33,2.43,0.840,"1,806",35.69m
SMISCOR (7132),0.00,0.000,0.480,0.430,0.530,0.370,0.540,-9.65,-,-7.91,1.220,55,21.50m
SMRT (0117),0.00,0.000,0.125,0.110,0.125,0.095,0.210,0.89,14.04,2.04,0.436,"5,817",50.88m
SMTRACK (0169),0.00,0.000,0.070,0.065,0.075,0.055,0.200,-3.24,-,-36.00,0.090,"11,200",10.26m
SNC (7943),0.00,0.000,0.280,0.240,0.290,0.225,0.310,-4.27,-,-12.20,0.350,67,18.48m
SNTORIA (5213),0.00,0.000,0.435,0.380,0.460,0.345,0.670,3.72,11.69,3.88,0.960,666,246.76m
SOLID (5242),0.68,0.200,0.295,0.290,0.320,0.290,0.368,0.59,50.00,1.64,0.360,651,115.66m
SOLUTN (0093),11.11,1.000,0.090,0.090,0.115,0.080,0.200,-1.11,-,-8.88,0.125,"4,161",27.58m
SOP (5126),2.34,6.000,2.560,2.530,2.700,1.960,3.790,-,-,-,3.750,757,1.461b
SPB (1783),1.93,12.000,6.230,6.120,6.230,3.950,6.230,-0.61,-,-0.09,7.170,404,2.141b
SPRITZER (7103),2.51,5.500,2.190,2.010,2.200,2.000,2.460,11.54,18.98,6.22,1.854,188,459.88m
SPSETIA (8664),7.01,15.500,2.210,2.160,2.620,1.930,3.260,16.95,13.04,5.59,3.030,"20,385",8.748b
SRIDGE (0129),0.00,0.000,0.255,0.245,0.340,0.150,0.340,-,-,-,0.080,"28,092",35.02m
SSTEEL (5665),4.40,3.500,0.795,0.770,0.895,0.720,2.095,10.34,7.69,4.85,2.130,"4,039",344.75m
STAR (6084),53.85,42.000,0.780,0.695,0.830,0.620,1.280,0.71,109.86,0.63,1.130,"5,102",576.08m
STERPRO (0140),0.00,0.000,0.195,0.145,0.250,0.135,0.300,-,-,-,0.160,791,62.65m
STONE (7143),0.00,0.000,0.100,0.095,0.130,0.095,0.230,-4.84,-,-,-0.023,223,8.99m
STRAITS (0080),0.00,0.000,0.255,0.215,0.270,0.210,0.285,0.65,39.23,4.25,0.153,"7,269",159.16m
SUBUR (6904),0.00,0.000,0.510,0.500,0.660,0.400,1.100,-8.41,-,-2.64,3.190,92,106.59m
SUCCESS (7207),1.44,1.000,0.695,0.535,0.720,0.520,1.035,2.40,28.96,1.61,1.490,"1,734",172.71m
SUIWAH (9865),0.38,1.000,2.660,2.640,2.690,1.920,2.830,16.02,16.60,3.93,4.080,149,162.26m
SUMATEC (1201),0.00,0.000,0.005,0.005,0.010,0.005,0.075,-1.59,-,-15.44,0.103,"188,218",21.26m
SUNCON (5263),3.98,7.000,1.760,1.540,1.790,1.300,2.375,11.19,15.73,24.33,0.460,"12,580",2.276b
SUNREIT (5176),5.47,9.570,1.750,1.718,1.778,1.388,1.778,14.16,12.36,9.72,1.457,"16,915",5.154b
SUNSURIA (3743),0.00,0.000,0.635,0.580,0.675,0.580,1.310,11.45,5.55,11.34,1.010,706,507.26m
SUNWAY (5211),3.64,6.000,1.650,1.550,1.690,1.350,1.690,13.38,12.33,7.78,1.720,"21,246",8.125b
SUNZEN (0148),1.82,0.300,0.165,0.160,0.185,0.130,0.280,-1.31,-,-6.55,0.200,"2,538",86.78m
SUPERLN (7235),2.65,3.500,1.320,1.260,1.390,0.976,1.750,7.60,17.37,9.68,0.785,"2,911",211.20m
SUPERMX (7106),5.10,8.000,1.570,1.500,1.710,1.067,2.288,8.62,18.21,5.39,1.600,"82,212",2.136b
SUPREME (03018),0.00,0.000,0.680,0.650,0.680,0.600,0.680,-,-,-,-,305,81.60m
SURIA (6521),2.48,3.500,1.410,1.370,1.500,1.203,1.535,15.31,9.21,4.91,3.119,519,487.61m
SWKPLNT (5135),3.21,5.000,1.560,1.500,1.590,1.450,1.800,3.99,39.10,2.05,1.950,230,436.80m
SWSCAP (7186),0.00,0.000,0.700,0.605,0.720,0.590,0.988,-1.65,-,-3.08,0.535,563,127.64m
SYCAL (9717),0.00,0.000,0.225,0.220,0.235,0.210,0.295,0.66,34.09,1.01,0.656,918,93.67m
SYF (7082),6.82,1.500,0.220,0.215,0.235,0.198,0.358,-3.69,-,-7.85,0.470,"4,480",136.23m
SYMLIFE (1538),7.59,3.000,0.395,0.360,0.415,0.320,0.751,9.66,4.09,6.48,1.490,"2,057",233.16m
SYSCORP (5173),0.00,0.000,0.295,0.265,0.315,0.210,0.405,0.53,55.66,0.54,0.990,"14,300",354.00m
SYSTECH (0050),1.36,0.300,0.220,0.210,0.250,0.180,0.345,0.64,34.38,0.04,15.560,"5,392",76.50m
T7GLOBAL (7228),0.00,0.000,0.470,0.410,0.470,0.300,0.615,1.01,46.53,2.97,0.340,"18,448",197.14m
TA (4898),6.46,4.100,0.635,0.620,0.665,0.454,0.695,4.36,14.56,3.05,1.430,"14,814",1.087b
TAANN (5012),4.07,10.000,2.460,2.400,2.580,1.880,3.260,17.58,13.99,5.86,3.000,"2,256",1.094b
TADMAX (4022),0.00,0.000,0.235,0.230,0.295,0.165,0.295,0.71,33.10,1.50,0.474,"8,797",184.18m
TAFI (7211),0.00,0.000,0.325,0.270,0.325,0.270,0.420,-5.77,-,-9.95,0.580,93,26.00m
TAGB (5158),2.31,0.600,0.260,0.250,0.280,0.240,0.349,2.92,8.90,5.03,0.580,"4,299",1.384b
TAKAFUL (6139),3.41,15.000,4.400,4.210,4.680,3.050,4.680,35.78,12.30,30.07,1.190,"4,359",3.627b
TALAMT (2259),0.00,0.000,0.030,0.025,0.040,0.025,0.045,-0.47,-,-5.40,0.087,"14,181",126.61m
TALIWRK (8524),9.30,8.000,0.860,0.815,0.920,0.406,0.920,4.92,17.48,9.39,0.524,"13,636",1.734b
TAMBUN (5191),10.07,7.700,0.765,0.750,0.795,0.658,1.030,12.77,5.99,9.12,1.400,"4,670",331.53m
TANCO (2429),0.00,0.000,0.055,0.050,0.065,0.045,0.112,-1.16,-,-5.00,0.232,"8,923",39.13m
TAS (5149),0.00,0.000,0.260,0.230,0.310,0.180,0.395,1.32,19.70,1.44,0.916,"1,472",46.80m
TASCO (5140),3.38,4.500,1.330,1.240,1.500,0.990,1.975,7.98,16.67,4.34,1.840,458,266.00m
TASEK (4448),8.51,40.000,4.700,4.600,4.800,4.050,8.700,-17.64,-,-4.01,4.399,106,581.02m
TAWIN (7097),0.00,0.000,0.460,0.405,0.500,0.405,0.940,-,-,-,0.890,"2,849",36.62m
TCHONG (4405),1.20,2.000,1.670,1.400,1.750,1.330,1.880,15.03,11.11,3.45,4.360,567,1.122b
TDEX (0132),0.00,0.000,0.080,0.065,0.110,0.065,0.145,-,-,-,0.070,"8,181",47.23m
TDM (2054),2.86,0.500,0.175,0.170,0.215,0.145,0.420,-4.54,-,-6.88,0.660,"37,454",294.46m
TECFAST (0084),3.03,1.000,0.330,0.300,0.400,0.250,0.560,1.74,18.97,15.13,0.115,"10,850",75.29m
TECGUAN (7439),0.00,0.000,0.775,0.775,0.900,0.695,1.260,-4.37,-,-1.77,2.467,49,31.08m
TECHBND (5289),0.00,0.000,0.735,0.735,1.020,0.735,1.020,-,-,-,0.550,"62,103",169.05m
TEKSENG (7200),8.00,2.000,0.250,0.240,0.270,0.220,0.385,-13.99,-,-23.71,0.590,"4,322",87.04m
TENAGA (5347),4.66,61.000,13.080,12.900,13.600,12.520,15.823,65.48,19.98,6.44,10.170,"77,824",74.385b
TEOSENG (7252),2.29,3.000,1.310,1.010,1.340,0.735,1.340,10.12,12.94,10.88,0.930,"2,621",393.00m
TEXCHEM (8702),16.81,10.000,0.595,0.590,0.700,0.590,0.910,-5.44,-,-2.70,2.014,313,73.84m
TEXCYCL (0089),2.00,1.100,0.550,0.515,0.570,0.510,0.754,3.05,18.03,7.62,0.400,401,140.90m
TFP (0145),0.00,0.000,0.100,0.090,0.110,0.085,0.210,-0.95,-,-0.19,5.080,"5,495",20.80m
TGL (9369),5.21,5.000,0.960,0.960,1.060,0.830,1.110,15.25,6.30,7.26,2.100,10,39.11m
TGUAN (7034),3.04,8.000,2.630,2.270,2.700,2.070,3.080,33.25,7.91,9.13,3.640,"1,124",358.82m
THETA (9075),0.00,0.000,0.405,0.325,0.430,0.240,0.460,-1.50,-,-2.38,0.630,"1,061",43.43m
THHEAVY (7206),0.00,0.000,0.055,0.035,0.060,0.025,0.090,-0.23,-,-4.60,0.050,"22,949",61.67m
THPLANT (5112),7.06,3.600,0.510,0.510,0.620,0.455,0.970,-67.27,-,-74.74,0.900,"1,033",450.76m
THRIVEN (7889),0.00,0.000,0.215,0.200,0.240,0.131,0.485,4.00,5.38,11.11,0.360,"20,003",110.56m
TIENWAH (7374),5.08,6.000,1.180,1.040,1.180,1.040,1.600,-4.24,-,-1.88,2.250,175,170.80m
TIGER (7079),0.00,0.000,0.075,0.075,0.080,0.045,0.160,-0.29,-,-0.63,0.460,"83,651",85.90m
TIMECOM (5031),2.10,17.200,8.200,7.750,8.400,7.060,8.510,49.46,16.58,11.45,4.320,"3,966",4.786b
TIMWELL (7854),1.46,1.000,0.685,0.600,0.700,0.410,0.700,7.30,9.38,12.83,0.569,15,61.00m
TITIJYA (5239),0.79,0.250,0.315,0.305,0.340,0.285,0.648,4.05,7.78,4.31,0.940,"15,648",423.49m
TM (4863),7.10,21.500,3.030,2.820,3.120,2.110,5.829,4.08,74.26,2.04,2.003,"73,644",11.387b
TMCLIFE (0101),0.25,0.180,0.725,0.720,0.750,0.693,0.843,1.66,43.67,3.86,0.430,"2,749",1.259b
TNLOGIS (8397),3.20,2.000,0.625,0.600,0.735,0.600,1.170,3.29,19.00,2.10,1.570,"1,987",287.98m
TOCEAN (7218),0.00,0.000,0.755,0.730,0.880,0.350,1.150,0.33,228.79,0.32,1.020,165,30.95m
TOMEI (7230),1.92,1.000,0.520,0.500,0.600,0.475,0.695,3.42,15.20,2.30,1.490,280,72.07m
TOMYPAK (7285),6.73,3.800,0.565,0.550,0.655,0.525,0.862,-0.44,-,-0.96,0.460,"6,143",237.22m
TONGHER (5010),10.00,36.000,3.600,3.570,4.230,2.400,4.230,38.71,9.30,13.17,2.940,608,566.75m
TOPGLOV (7113),2.59,12.000,4.640,4.530,5.210,4.185,6.310,17.11,27.12,17.64,0.970,"100,472",11.881b
TOPVISN (03013),0.00,0.000,0.380,0.375,0.380,0.230,0.385,-,-,-,0.073,60,97.13m
TOYOINK (7173),1.57,1.000,0.635,0.585,0.720,0.500,1.040,2.80,22.68,2.48,1.130,"2,262",67.95m
TPC (7176),0.00,0.000,0.455,0.310,0.460,0.300,0.460,-,-,-,0.360,326,106.38m
TRC (5054),5.33,2.800,0.525,0.520,0.590,0.405,0.697,4.34,12.10,5.05,0.860,"12,927",252.26m
TRIMODE (0199),2.25,1.000,0.445,0.400,0.475,0.295,0.565,2.17,20.51,5.17,0.420,"1,430",73.87m
TRIVE (0118),0.00,0.000,0.015,0.015,0.020,0.010,0.045,-,-,-,0.030,"58,143",35.20m
TROP (5401),3.18,2.780,0.875,0.845,0.895,0.777,0.902,11.56,7.57,4.90,2.360,"2,626",1.287b
TSH (9059),1.82,2.000,1.100,1.020,1.150,0.960,1.580,2.90,37.93,2.93,0.991,928,1.520b
TSRCAP (5042),0.00,0.000,0.450,0.390,0.480,0.295,0.580,-,-,-,1.040,112,78.50m
TUNEPRO (5230),4.62,3.000,0.650,0.615,0.690,0.525,1.000,6.56,9.91,9.37,0.700,"16,433",488.64m
TURBO (5167),1.35,1.000,0.740,0.680,0.840,0.620,0.840,6.06,12.21,6.18,0.980,81,79.92m
TURIYA (4359),0.00,0.000,0.120,0.120,0.175,0.105,0.195,1.09,11.01,2.06,0.530,188,27.45m
TWRREIT (5111),2.33,2.100,0.900,0.895,0.925,0.875,1.079,-,-,-,1.895,307,252.45m
UCHITEC (7100),9.89,27.000,2.730,2.560,2.850,1.850,3.100,15.31,17.83,45.03,0.340,"6,163",1.231b
UCREST (0005),0.00,0.000,0.255,0.230,0.280,0.200,0.430,3.36,7.59,40.00,0.084,"136,181",118.33m
UEMS (5148),1.22,1.000,0.820,0.755,0.880,0.620,1.080,6.18,13.27,3.96,1.560,"15,499",3.721b
ULICORP (7133),1.16,0.500,0.430,0.425,0.600,0.425,1.714,1.95,22.05,1.47,1.325,"2,396",93.65m
UMCCA (2593),2.16,12.000,5.550,5.400,5.560,5.100,6.510,-0.92,-,-0.13,7.190,772,1.164b
UMS (7137),4.03,10.000,2.480,2.300,2.600,2.000,2.750,11.73,21.14,2.92,4.020,28,100.91m
UMSNGB (7227),2.86,3.000,1.050,0.960,1.060,0.810,1.060,10.06,10.44,8.05,1.250,35,84.00m
UMW (4588),0.85,5.000,5.860,5.670,5.990,4.200,6.900,29.24,20.04,10.27,2.848,"18,151",6.846b
UNIMECH (7091),2.97,3.000,1.010,0.970,1.040,0.870,1.085,11.84,8.53,7.21,1.643,"1,543",160.36m
UNISEM (5005),3.93,11.000,2.800,2.800,3.200,1.555,3.300,13.06,21.44,6.64,1.968,"21,120",2.055b
UNIWALL (03017),0.00,0.000,0.280,0.280,0.280,0.180,0.280,-,-,-,0.040,4,102.40m
UOADEV (5200),6.67,15.000,2.250,2.230,2.420,1.840,2.560,20.54,10.95,8.09,2.540,"3,992",4.151b
UOAREIT (5110),6.76,9.130,1.350,1.310,1.370,1.239,1.449,13.61,9.92,7.94,1.715,236,570.88m
UPA (7757),8.33,18.000,2.160,2.050,2.170,2.050,2.480,11.52,18.75,3.52,3.270,50,171.90m
UTDPLT (2089),5.11,140.000,27.420,25.800,27.500,25.000,28.080,-,-,-,12.260,312,5.707b
UTUSAN (5754),0.00,0.000,0.175,0.115,0.310,0.085,0.500,-168.53,-,-,-0.823,559,19.38m
UZMA (7250),0.00,0.000,0.910,0.675,0.995,0.550,1.570,-,-,-,1.530,"7,930",291.23m
VC (0060),0.00,0.000,0.130,0.125,0.165,0.125,0.220,1.26,10.32,10.77,0.117,"61,791",39.64m
VELESTO (5243),0.00,0.000,0.245,0.185,0.260,0.165,0.335,-0.22,-,-0.65,0.341,"240,864",2.013b
VERSATL (4995),0.00,0.000,0.425,0.365,0.435,0.355,0.750,-13.34,-,-40.42,0.330,"6,007",54.86m
VERTICE (7240),0.00,0.000,0.890,0.850,0.925,0.750,1.130,-,-,-,0.780,"1,858",166.35m
VIS (0120),1.92,1.000,0.520,0.445,0.575,0.290,0.795,4.78,10.88,19.92,0.240,"16,963",87.90m
VITROX (0097),0.64,4.500,7.020,6.510,7.040,4.802,8.502,22.42,31.31,25.51,0.879,"3,487",3.303b
VIVOCOM (0069),0.00,0.000,0.020,0.015,0.025,0.015,0.068,-1.22,-,-15.25,0.080,"90,752",113.29m
VIZIONE (7070),0.00,0.000,0.995,0.950,1.040,0.770,1.155,9.58,10.39,10.38,0.923,"12,590",556.60m
VS (6963),4.31,4.700,1.090,0.800,1.100,0.614,2.321,7.96,13.69,9.48,0.840,"144,558",1.979b
VSOLAR (0066),0.00,0.000,0.195,0.140,0.205,0.085,0.205,-0.45,-,-10.47,0.043,"18,429",75.28m
VSTECS (5162),5.15,5.000,0.970,0.960,1.030,0.905,1.170,13.68,7.09,8.55,1.600,"1,011",174.60m
WANGZNG (7203),3.33,4.000,1.200,1.130,1.270,0.995,1.620,6.50,18.46,5.42,1.200,270,192.00m
WARISAN (5016),1.83,4.000,2.180,2.100,2.190,1.990,2.340,11.10,19.64,2.16,5.150,16,146.50m
WASEONG (5142),0.64,0.500,0.780,0.740,0.925,0.595,1.660,8.36,9.33,6.74,1.240,"8,288",604.41m
WATTA (7226),0.00,0.000,0.845,0.760,0.860,0.240,0.860,-3.70,-,-5.61,0.660,"3,336",71.39m
WCEHB (3565),0.00,0.000,0.510,0.485,0.650,0.465,1.170,0.88,57.95,1.26,0.698,"2,118",511.40m
WCT (9679),3.68,3.000,0.815,0.800,0.910,0.660,1.570,7.89,10.33,3.51,2.250,"61,869",1.154b
WEGMANS (0197),1.56,0.500,0.320,0.310,0.360,0.189,0.393,2.50,12.80,16.67,0.150,"24,092",160.00m
WELLCAL (7231),4.19,5.450,1.300,1.230,1.300,1.126,1.446,6.67,19.49,30.18,0.221,"1,271",647.33m
WIDAD (0162),0.00,0.000,0.330,0.295,0.355,0.220,0.405,0.50,66.00,8.33,0.060,"24,109",810.03m
WIDETEC (7692),0.00,0.000,0.565,0.530,0.580,0.460,0.655,3.96,14.27,4.83,0.820,14,25.29m
WILLOW (0008),4.35,2.000,0.460,0.460,0.505,0.415,0.650,2.24,20.54,7.00,0.320,"2,459",228.16m
WINTONI (0141),0.00,0.000,0.035,0.035,0.035,0.035,0.035,-0.32,-,-,-0.210,0,17.96m
WMG (6378),0.00,0.000,0.115,0.115,0.135,0.105,0.255,-5.31,-,-11.30,0.470,708,49.01m
WONG (7050),3.20,2.000,0.625,0.560,0.635,0.559,0.966,7.57,8.26,10.66,0.710,"1,041",71.63m
WOODLAN (7025),0.00,0.000,0.750,0.570,0.750,0.500,0.750,4.70,15.96,4.16,1.130,35,30.00m
WPRTS (5246),3.22,11.730,3.640,3.630,4.000,2.983,4.000,15.64,23.27,22.09,0.708,"11,809",12.412b
WTHORSE (5009),5.30,7.000,1.320,1.320,1.540,1.320,1.880,-11.33,-,-3.76,3.010,103,316.80m
WTK (4243),1.94,1.000,0.515,0.475,0.530,0.415,0.760,16.85,3.06,7.26,2.320,"4,149",247.89m
WZSATU (7245),0.00,0.000,0.340,0.305,0.400,0.160,0.626,-20.74,-,-43.21,0.480,"4,876",158.16m
XDL (5156),0.00,0.000,0.110,0.100,0.125,0.095,0.210,1.15,9.57,1.47,0.780,"59,046",198.54m
XIANLNG (7121),0.00,0.000,0.460,0.430,0.470,0.400,0.615,0.02,2300.00,0.03,0.620,783,36.77m
XINGHE (0095),0.00,0.000,0.035,0.030,0.040,0.030,0.060,-0.89,-,-4.64,0.192,"40,158",90.07m
XINHWA (5267),1.19,1.000,0.840,0.790,0.875,0.620,1.160,2.43,34.57,3.52,0.690,"2,325",181.44m
XINQUAN (5155),0.00,0.000,0.055,0.055,0.055,0.055,0.055,-79.48,-,-41.83,1.900,0,26.68m
XOX (0165),0.00,0.000,0.050,0.050,0.060,0.050,0.105,-,-,-,0.111,"51,599",54.62m
Y&G (7003),0.00,0.000,0.910,0.910,0.910,0.910,1.000,5.54,16.43,3.82,1.450,10,181.44m
YBS (0025),1.72,0.250,0.145,0.135,0.155,0.125,0.195,1.25,11.60,5.21,0.240,"4,532",35.09m
YEELEE (5584),2.43,4.500,1.850,1.810,1.880,1.800,2.315,19.56,9.46,5.94,3.293,363,354.47m
YFG (7122),0.00,0.000,0.005,0.005,0.005,0.005,0.035,-2.02,-,-,-0.160,"6,927",3.05m
YGL (0086),0.00,0.000,0.115,0.110,0.125,0.100,0.180,-1.01,-,-14.03,0.072,"1,238",26.71m
YILAI (5048),0.00,0.000,0.600,0.570,0.620,0.545,0.760,-1.97,-,-1.42,1.390,296,96.00m
YINSON (7293),2.25,10.000,4.450,4.050,4.560,3.580,4.910,21.46,20.74,13.01,1.650,"8,009",4.865b
YKGI (7020),0.00,0.000,0.105,0.100,0.150,0.090,0.455,-38.10,-,-2.93,13.000,"16,610",36.82m
YLI (7014),2.08,0.500,0.240,0.230,0.335,0.200,0.445,-20.04,-,-15.53,1.290,364,24.71m
YNHPROP (3158),0.58,0.700,1.200,1.180,1.330,1.040,1.660,2.95,40.68,1.72,1.720,"14,993",634.80m
YOCB (5159),3.54,4.000,1.130,1.030,1.150,0.950,1.290,17.64,6.41,12.60,1.400,674,180.80m
YONGTAI (7066),0.00,0.000,0.335,0.325,0.385,0.300,1.580,-0.59,-,-0.53,1.120,"53,738",162.69m
YSPSAH (7178),2.40,7.000,2.920,2.700,2.980,2.260,3.390,21.94,13.31,9.62,2.280,653,403.90m
YTL (4677),3.92,4.000,1.020,1.020,1.160,0.875,1.440,2.42,42.15,1.91,1.270,"91,335",11.129b
YTLLAND (2577),0.00,0.000,0.395,0.385,0.420,0.370,0.510,-15.88,-,-17.45,0.910,732,333.52m
YTLPOWR (6742),5.81,5.000,0.860,0.860,0.945,0.680,1.220,6.74,12.76,4.27,1.580,"85,315",7.016b
YTLREIT (5109),6.15,7.870,1.280,1.250,1.320,1.012,1.320,11.74,10.90,7.49,1.568,"6,988",2.182b
ZECON (7028),0.00,0.000,0.230,0.210,0.260,0.150,0.630,8.23,2.79,4.70,1.750,"3,912",30.13m
ZELAN (2283),0.00,0.000,0.070,0.045,0.075,0.025,0.130,-1.24,-,-17.71,0.070,"24,866",59.14m
ZHULIAN (5131),7.35,10.000,1.360,1.320,1.380,1.160,1.550,11.74,11.58,9.08,1.293,409,625.60m
